Date,Confirmed,Diff_Confirmed,Death,Diff_Death
2020-03-09,3,0,0,0
2020-03-10,3,0,0,0
2020-03-11,4,1,0,0
2020-03-12,4,0,0,0
2020-03-13,13,9,0,0
2020-03-14,26,13,0,0
2020-03-15,36,10,0,0
2020-03-16,50,14,0,0
2020-03-17,67,17,0,0
2020-03-18,88,21,0,0
2020-03-19,119,31,0,0
2020-03-20,169,50,1,0
2020-03-21,247,78,3,2
2020-03-22,351,104,3,0
2020-03-23,442,91,6,3
2020-03-24,546,104,8,2
2020-03-25,704,158,10,2
2020-03-26,867,163,15,5
2020-03-27,1137,270,15,0
2020-03-28,1406,269,25,10
2020-03-29,1653,247,29,4
2020-03-30,1933,280,39,10
2020-03-31,2199,266,55,16
2020-04-01,2547,348,65,10
2020-04-02,2902,355,81,16
2020-04-03,3312,410,91,10
2020-04-04,3739,427,102,11
2020-04-05,4043,304,119,17
2020-04-06,4450,407,142,23
2020-04-07,4782,332,167,25
2020-04-08,5148,366,193,26
2020-04-09,5512,364,213,20
2020-04-10,5878,366,231,18
2020-04-11,6250,372,247,16
2020-04-12,6604,354,253,6
2020-04-13,6975,371,274,21
2020-04-14,7280,305,324,50
2020-04-15,7791,511,361,37
2020-04-16,8414,623,389,28
2020-04-17,9107,693,418,29
2020-04-18,10222,1115,451,33
2020-04-19,11602,1380,471,20
2020-04-20,12919,1317,509,38
2020-04-21,12919,0,509,0
2020-04-21,13725,806,557,48
2020-04-22,14117,392,610,53
2020-04-23,14694,577,656,46
2020-04-24,15169,475,690,34
